cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
310100743,8,"Plynová kotelna K38, p.č. 2007",27401,Slaný,Plynárenská,,Kladno,Středočeský,3
310100743,9,Olej-plyn.kotel.K39,27401,Slaný,Všehlušická,,Kladno,Středočeský,4
310100743,10,"Olejová kotelna K40, p.č. 2451",27401,Slaný,Lidická,,Kladno,Středočeský,3
310100743,11,"Plynová kotelna K41, p.č. 2498",27401,Slaný,Bienerova,,Kladno,Středočeský,4
310100743,12,"Plynová kotelna K42, p.č. 2915",27401,Slaný,Na Dolíkách,,Kladno,Středočeský,3
310100743,13,"Plynová kotelna K43, p.č. 3072",27401,Slaný,Vikova,,Kladno,Středočeský,6
310100743,14,Plynová kotelna K44,27401,Slaný,Rabasova,,Kladno,Středočeský,4
310100743,15,"Uhelná kotelna K45, p.č. 1799/52",27401,Slaný,Lacinova,1710,Kladno,Středočeský,2
310100745,1,Výtopna Nádražní,51101,Turnov,Kosmonautů,,Semily,Liberecký,7
310100745,2,Teplárna Výšinka 1,51101,Turnov,Perlová,,Semily,Liberecký,6
310100745,3,Výtopna Žižkova,51101,Turnov,Žižkova,,Semily,Liberecký,2
310100745,4,Výtopna Přepeřská,51101,Turnov,Sídliště Přepeřská,,Semily,Liberecký,2
310100745,5,Výtopna ul. 5. května,51101,Turnov,5. květn,5,Semily,Liberecký,2
310100745,6,Bloková kotelna Výšinka 2,51101,Turnov,Jana Zajíce,,Semily,Liberecký,2
310100748,3,K15 Máchova,41201,Litoměřice,Máchovy schody,13/4,Litoměřice,Ústecký,2
310100748,4,K20 Liběšice,41146,Liběšice,Polní,,Litoměřice,Ústecký,2
310100748,5,K30 K1 Mládežnická,41201,Litoměřice,Mládežnická,1753/6,Litoměřice,Ústecký,2
310100748,6,K31 K2 Liškova,41201,Litoměřice,Liškova,1768/53,Litoměřice,Ústecký,3
310100748,7,K37 Alej 17. listopadu,41301,Roudnice nad Labem,Alej,17,Litoměřice,Ústecký,2
310100748,9,K39 Konojedy,41145,Konojedy,Konojedy,,Litoměřice,Ústecký,2
310100749,1,Teplárna Týnec,25741,Týnec nad Sázavou,K Náklí,523,Benešov,Středočeský,4
310100752,1,Kotelna K1,27303,Stochov,J.A. Komenského,216,Kladno,Středočeský,5
310100752,2,Kotelna Sázavan,27303,Stochov,S.K. Neumana,164,Kladno,Středočeský,1
310100752,10,Kotelna BK 175,35201,Hranice,Hranice,175,Cheb,Karlovarský,2
310100752,11,Kotelna BK 836,35124,Hranice,Nová,836,Cheb,Karlovarský,2
310100752,12,Kotelna BK 816,35124,Hranice,Masarykovo nám.,816,Cheb,Karlovarský,2
310100752,13,Kotelna BK 492,35124,Hranice,Zahradní,492,Cheb,Karlovarský,1
310100752,15,Kotelna CZT Milovice - Mladá,28923,Milovice,Milovice,,Nymburk,Středočeský,1
310100752,16,Kotelna Oblastní nemocnice Kladno,27201,Kladno,Vančurova,1548,Kladno,Středočeský,2
310100752,17,Kotelna CZT Milovice,28924,Milovice,Topolová,911,Nymburk,Středočeský,2
310100754,1,Kotelna Bělíkova,46401,Frýdlant,Bělíkova,1398,Liberec,Liberecký,4
310100756,1,centrální kotelna,37333,Nové Hrady,Zahradní,313,České Budějovice,Jihočeský,1
310100758,1,"Kotelna Klášterní 73, p.č. 46",79055,Vidnava,Klášterní,73,Jeseník,Olomoucký,2
310100758,2,"Kotelna Radniční 86, p.č. 29",79055,Vidnava,Radniční,86,Jeseník,Olomoucký,2
310100760,1,"Železárny Velký Šenov s.r.o., p.č. 127",40778,Velký Šenov,Vilémovská,275,Děčín,Ústecký,2
310100762,1,"BOHEMIA SPORT, spol. s r.o.",34119,Horažďovice,Strakonická,947,Klatovy,Plzeňský,2
310100770,8,PK - B1,67401,Třebíč,Dělnické náměstí,,Třebíč,Vysočina,5
310100770,17,PK - K13,67401,Třebíč,Rafaelova,1115,Třebíč,Vysočina,9
310100770,21,Teplárna JIH,67401,Třebíč,Kubišova,,Třebíč,Vysočina,7
310100770,24,Teplárna Západ,67401,Třebíč,Koželužská,,Třebíč,Vysočina,5
310100770,25,Teplárna Východ,67401,Kožichovice,Žďárského,,Třebíč,Vysočina,2
310100783,1,Kotelna VS1,46343,Český Dub,Husova,100,okres,kraj,4
310100788,1,Výtopna Perč,43801,Žatec,Perč,,Louny,Ústecký,4
310100832,1,"Teplárna Liberec, a.s.",46001,Liberec,Dr. Milady Horákové,641/34,Liberec,Liberecký,4
310100832,2,Plynová kotelna LVZ-GEA VESEC,46312,Liberec,Vesecká,25/1,Liberec,Liberecký,1
310100832,4,Zdroj Františkov,46001,Liberec,Vilová,,Liberec,Liberecký,3
310100832,5,KJ2 Teplárna Liberec,46001,Liberec,Dr. Milady Horákové,,Liberec,Liberecký,1
310100839,3,K - 12,39003,Tábor,Fügnerova,2211,Tábor,Jihočeský,3
310100839,4,K - 17,39002,Tábor,Kollárova,2155,Tábor,Jihočeský,3
310100839,5,K - 18,39002,Tábor,Vančurova,2202,Tábor,Jihočeský,3
310100845,1,Teplárna - Energetika,73801,Frýdek-Místek,Křižíková,1377,Frýdek-Místek,Moravskoslezský,2
310100845,2,Spalovna průmyslových odpadů,73801,Frýdek-Místek,Křižíkova,1377,Frýdek-Místek,Moravskoslezský,1
310100855,2,Kotelna Krejcárek - Nové spojení,18000,Praha 8,Pod Plynojemem,1603/17,,,1
310100865,1,"Kamínky, Kaštanová ul.",66501,Rosice u Brna,Kaštanová,231,Brno-venkov,Jihomoravský,2
310100865,2,Komenského náměstí,66501,Rosice u Brna,Komenského náměstí,,Brno-venkov,Jihomoravský,2
310100866,1,Výtopna Draha,51601,Rychnov nad Kněžnou,Mírová,1411,Rychnov nad Kněžnou,Královéhradecký,3
310100866,2,Plynová kotelna M.Habrová,51601,Rychnov nad Kněžnou,Městská Habrová,1629,Rychnov nad Kněžnou,Královéhradecký,2
310100866,3,Plynová kotelna Jiráskova,51601,Rxchnov nad Kněžnou,Jiráskova,1697,Rychnov nad Kněžnou,Královéhradecký,2
310100866,4,Plynová kotelna Janáčkova,51601,Rychnov nad Kněžnou,Janáčkova,1623,Rychnov nad Kněžnou,Královéhradecký,2
310100870,1,"Teplárna Písek, a.s.",39701,Písek,U Smrkové silnice,,Písek,Jihočeský,1
310100870,2,Výtopna Samoty,39701,Písek,Za Pazdernou,,Písek,Jihočeský,1
310100870,3,kotelna HVS Dukla,39701,Písek,U Výstaviště,,Písek,Jihočeský,1
310100875,3,Kotelna Železniční poliklinika,30148,Plzeň,Švihovská,14,Plzeň-město,Plzeňský,3
310100879,1,"CZT Nymburk, p.č. 2074/1",28802,Nymburk,gen. Sochora,2175,Nymburk,Středočeský,4
310100879,2,"ŽOS Nymburk, p.č. 3802/1",28802,Nymburk,Boleslavská,418,Nymburk,Středočeský,2
310100879,3,"K4 Lysá nad Labem, p.č. 1774/1",28922,Lysá nad Labem,Ke Vrutici,1693,Nymburk,Středočeský,3
310100882,1,"Sídlištní kotelna, p.č. 193",33824,Břasy,Břasy,274,Rokycany,Plzeňský,2
310100882,2,"Kotelna U Sadu, p.č. 411",33824,Břasy,Břasy,57,Rokycany,Plzeňský,2
310100882,3,"Kotelna Pečovatelský dům, p.č. 459",33824,Břasy,Břasy,300,Rokycany,Plzeňský,3
310100882,4,"Kotelna Kino, p.č. 197",33824,Břasy,Stupno,181,Rokycany,Plzeňský,2
310100882,5,Kotelna 682,33601,Blovice,5. května 68,5,Plzeň-jih,Plzeňský,3
310100882,6,Kotelna 661,33601,Blovice,5. května 66,5,Plzeň-jih,Plzeňský,3
310100892,1,Kotelna Spořilov,55001,Broumov,Pionýrská,361,Náchod,Královéhradecký,4
310100892,2,Kotelna Křinická,55001,Broumov,Na Pláni,201,Náchod,Královéhradecký,2
310100892,3,Kotelna Energo,55001,Broumov,Tyršova,79,Náchod,Královéhradecký,2
