cislo_licence,ev_cislo,druh,technologie,mw
110100176,21,elektrický,celkový,0.25
110100176,21,elektrický,vodní,0.25
110100176,22,elektrický,celkový,0.079
110100176,22,elektrický,sluneční,0.079
110100176,23,elektrický,celkový,0.019
110100176,23,elektrický,sluneční,0.019
110100176,24,elektrický,celkový,0.039
110100176,24,elektrický,sluneční,0.039
110100176,25,elektrický,celkový,0.019
110100176,25,elektrický,sluneční,0.019
110100176,26,elektrický,celkový,0.04
110100176,26,elektrický,sluneční,0.04
110100176,27,elektrický,celkový,0.125
110100176,27,elektrický,vodní,0.125
110100180,1,elektrický,celkový,0.022
110100180,1,elektrický,vodní,0.022
110100183,1,elektrický,celkový,0.008
110100183,1,elektrický,vodní,0.008
110100187,1,elektrický,celkový,0.26
110100187,1,elektrický,vodní,0.26
110100188,1,elektrický,celkový,0.03
110100188,1,elektrický,vodní,0.03
110100190,1,elektrický,celkový,0.8
110100190,1,elektrický,vodní,0.8
110100191,1,elektrický,celkový,0.022
110100191,1,elektrický,vodní,0.022
110100195,1,elektrický,celkový,0.098
110100195,1,elektrický,vodní,0.098
110100197,1,elektrický,celkový,0.4
110100197,1,tepelný,celkový,8.5
110100197,1,elektrický,parní,0.4
110100197,1,tepelný,parní,8.5
110100200,1,elektrický,celkový,1.769
110100200,1,tepelný,celkový,2.02
110100200,1,elektrický,plynový a spalovací,1.769
110100200,1,tepelný,plynový a spalovací,2.02
110100200,2,elektrický,celkový,1.795
110100200,2,tepelný,celkový,2.042
110100200,2,elektrický,plynový a spalovací,1.795
110100200,2,tepelný,plynový a spalovací,2.042
110100200,3,elektrický,celkový,0.52
110100200,3,tepelný,celkový,0.76
110100200,3,elektrický,plynový a spalovací,0.52
110100200,3,tepelný,plynový a spalovací,0.76
110100200,4,elektrický,celkový,0.868
110100200,4,tepelný,celkový,1.104
110100200,4,elektrický,plynový a spalovací,0.868
110100200,4,tepelný,plynový a spalovací,1.104
110100200,5,elektrický,celkový,0.022
110100200,5,tepelný,celkový,0.046
110100200,5,elektrický,plynový a spalovací,0.022
110100200,5,tepelný,plynový a spalovací,0.046
110100200,6,elektrický,celkový,0.022
110100200,6,tepelný,celkový,0.046
110100200,6,elektrický,plynový a spalovací,0.022
110100200,6,tepelný,plynový a spalovací,0.046
110100200,7,elektrický,celkový,0.022
110100200,7,tepelný,celkový,0.046
110100200,7,elektrický,plynový a spalovací,0.022
110100200,7,tepelný,plynový a spalovací,0.046
110100200,8,elektrický,celkový,0.446
110100200,8,tepelný,celkový,0.573
110100200,8,elektrický,plynový a spalovací,0.446
110100200,8,tepelný,plynový a spalovací,0.573
110100202,1,elektrický,celkový,0.085
110100202,1,elektrický,vodní,0.085
110100207,1,elektrický,celkový,0.022
110100207,1,elektrický,vodní,0.022
110100208,1,elektrický,celkový,0.055
110100208,1,elektrický,vodní,0.055
110100208,2,elektrický,celkový,0.003
110100208,2,elektrický,sluneční,0.003
110100208,3,elektrický,celkový,0.03
110100208,3,elektrický,sluneční,0.03
110100210,1,elektrický,celkový,0.03
110100210,1,elektrický,vodní,0.03
110100210,2,elektrický,celkový,0.005
110100210,2,elektrický,sluneční,0.005
110100211,1,elektrický,celkový,0.03
110100211,1,elektrický,vodní,0.03
110100218,1,elektrický,celkový,0.037
110100218,1,elektrický,vodní,0.037
110100220,1,elektrický,celkový,0.03
110100220,1,tepelný,celkový,0.062
110100220,1,elektrický,plynový a spalovací,0.03
110100220,1,tepelný,plynový a spalovací,0.062
110100220,2,elektrický,celkový,0.022
110100220,2,tepelný,celkový,0.043
110100220,2,elektrický,plynový a spalovací,0.022
110100220,2,tepelný,plynový a spalovací,0.043
110100224,1,elektrický,celkový,0.047
110100224,1,elektrický,vodní,0.047
110100224,2,elektrický,celkový,0.15
110100224,2,elektrický,vodní,0.15
110100224,3,elektrický,celkový,0.002
110100224,3,elektrický,sluneční,0.002
110100224,4,elektrický,celkový,0.01
110100224,4,elektrický,sluneční,0.01
110100224,5,elektrický,celkový,0.002
110100224,5,elektrický,větrný,0.002
110100225,1,elektrický,celkový,18.0
110100225,1,tepelný,celkový,204.0
110100225,1,elektrický,parní,18.0
110100225,1,tepelný,parní,204.0
110100228,1,elektrický,celkový,0.03
110100228,1,elektrický,vodní,0.03
110100229,1,elektrický,celkový,0.044
110100229,1,elektrický,vodní,0.044
110100230,1,elektrický,celkový,0.576
110100230,1,tepelný,celkový,0.711
110100230,1,elektrický,plynový a spalovací,0.576
110100230,1,tepelný,plynový a spalovací,0.711
110100230,5,elektrický,celkový,1.56
110100230,5,tepelný,celkový,1.709
110100230,5,elektrický,plynový a spalovací,1.56
110100230,5,tepelný,plynový a spalovací,1.709
110100230,9,elektrický,celkový,0.231
110100230,9,tepelný,celkový,0.323
110100230,9,elektrický,plynový a spalovací,0.231
110100230,9,tepelný,plynový a spalovací,0.323
110100230,10,elektrický,celkový,0.3
110100230,10,tepelný,celkový,0.452
110100230,10,elektrický,plynový a spalovací,0.3
110100230,10,tepelný,plynový a spalovací,0.452
110100230,11,elektrický,celkový,0.14
110100230,11,tepelný,celkový,0.24
110100230,11,elektrický,plynový a spalovací,0.14
110100230,11,tepelný,plynový a spalovací,0.24
110100230,12,elektrický,celkový,3.12
110100230,12,tepelný,celkový,3.6
110100230,12,elektrický,plynový a spalovací,3.12
110100230,12,tepelný,plynový a spalovací,3.6
110100230,13,elektrický,celkový,1.56
110100230,13,tepelný,celkový,1.878
110100230,13,elektrický,plynový a spalovací,1.56
110100230,13,tepelný,plynový a spalovací,1.878
110100230,14,elektrický,celkový,0.13
110100230,14,tepelný,celkový,0.201
110100230,14,elektrický,bez názvu,0.13
110100230,14,tepelný,bez názvu,0.201
110100230,15,elektrický,celkový,0.834
110100230,15,tepelný,celkový,1.076
110100230,15,elektrický,plynový a spalovací,0.834
110100230,15,tepelný,plynový a spalovací,1.076
110100230,16,elektrický,celkový,0.2
110100230,16,tepelný,celkový,0.249
110100230,16,elektrický,plynový a spalovací,0.2
110100230,16,tepelný,plynový a spalovací,0.249
110100230,17,elektrický,celkový,0.999
110100230,17,tepelný,celkový,1.188
110100230,17,elektrický,plynový a spalovací,0.999
110100230,17,tepelný,plynový a spalovací,1.188
110100230,18,elektrický,celkový,0.03
110100230,18,elektrický,sluneční,0.03
110100230,19,elektrický,celkový,0.26
110100230,19,tepelný,celkový,0.371
110100230,19,elektrický,plynový a spalovací,0.26
110100230,19,tepelný,plynový a spalovací,0.371
110100230,20,elektrický,celkový,0.529
110100230,20,tepelný,celkový,0.63
110100230,20,elektrický,plynový a spalovací,0.529
110100230,20,tepelný,plynový a spalovací,0.63
110100230,21,elektrický,celkový,0.2
110100230,21,tepelný,celkový,0.308
110100230,21,elektrický,plynový a spalovací,0.2
110100230,21,tepelný,plynový a spalovací,0.308
110100230,22,elektrický,celkový,0.178
110100230,22,tepelný,celkový,0.249
110100230,22,elektrický,plynový a spalovací,0.178
110100230,22,tepelný,plynový a spalovací,0.249
