cislo_licence,pocet_zdroju
110806116,1
110806119,2
110806120,1
110806123,1
110806124,1
110806125,1
110806126,1
110806128,2
110806129,1
110806130,1
110806131,1
110806132,4
110806134,1
110806135,1
110806136,2
110806137,1
110806138,2
110806139,1
110806140,1
110806141,1
110806142,1
110806143,1
110806144,1
110806145,1
110806146,1
110806147,1
110806148,2
110806149,1
110806151,1
110806152,1
110806153,1
110806154,1
110806155,1
110806156,1
110806157,1
110806158,1
110806159,1
110806160,1
110806161,1
110806162,1
110806163,3
110806164,4
110806166,2
110806167,1
110806168,2
110806169,4
110806170,1
110806173,1
110806174,3
110806175,1
110806176,1
110806177,2
110806178,4
110806179,1
110806180,2
110806181,1
110806182,2
110806183,1
110806184,1
110806185,1
110806186,1
110806187,1
110806188,1
110806189,2
110806190,4
110806193,1
110806194,1
110806195,2
110806196,1
110806197,1
110806198,1
110806199,1
110806200,1
110806201,1
110806202,1
110806204,1
110806205,2
110806207,1
110806209,1
110806211,1
110806213,1
110806214,2
110806215,1
110806216,1
110806217,2
110806218,1
110806219,2
110806220,1
110806221,1
110806222,1
110806223,1
110806224,1
110806225,1
110806226,1
110806227,1
110806229,1
110806230,1
110806232,2
110806234,1
110806235,1
110806236,2
110806237,1
110806238,1
110806239,3
110806240,1
110806241,1
110806242,1
110806243,1
110806244,1
110806245,2
110806246,12
110806247,1
110806248,1
110806249,3
110806250,1
110806251,1
110806253,1
110806254,1
110806255,2
110806256,1
110806257,1
110806259,1
110806260,1
110806261,1
110806262,1
110806263,1
110806264,1
110806266,1
110806267,1
110806268,1
110806269,1
110806270,2
110806271,1
110806272,1
110806273,4
110806274,1
110806275,1
110806276,1
110806277,3
110806278,2
110806279,2
110806280,1
110806282,1
110806283,1
110806284,5
110806285,1
110806286,1
110806287,1
110806288,2
110806289,2
110806290,2
110806291,2
110806292,1
110806293,1
110806294,1
110806295,2
110806296,1
110806297,2
110806298,2
110806299,2
110806300,2
110806301,4
110806302,1
110806305,3
110806306,2
110806307,1
110806308,2
110806310,1
110806311,1
110806312,1
110806313,1
110806315,1
110806316,1
110806317,2
110806318,1
110806319,1
110806320,1
110806323,1
110806324,1
110806325,2
110806326,1
110806327,2
110806328,1
110806329,1
110806330,1
110806331,2
110806332,1
110806333,1
110806334,1
110806335,2
110806336,2
110806337,1
110806338,1
110806339,2
110806340,1
110806341,3
110806342,1
110806343,5
110806344,1
110806345,1
110806346,1
110806347,1
110806348,1
110806349,4
110806350,1
110806351,2
110806352,1
110806355,2
110806356,3
110806358,1
110806359,1
110806360,2
110806361,4
110806362,1
110806363,1
110806364,4
110806365,1
110806366,1
110806367,3
110806368,1
110806369,4
110806370,1
110806374,1
110806375,1
110806376,1
110806377,1
110806378,1
110806379,1
110806380,1
110806381,2
110806383,2
110806384,2
110806385,2
110806386,3
110806387,2
110806388,1
110806389,1
110806392,1
110806393,2
110806394,2
