cislo_licence,druh,technologie,mw
110100535,elektrický,vodní,0.022
110100536,elektrický,celkový,0.147
110100536,elektrický,sluneční,0.018
110100536,elektrický,vodní,0.129
110100543,elektrický,celkový,0.028
110100543,tepelný,celkový,0.06
110100543,elektrický,plynový a spalovací,0.028
110100543,tepelný,plynový a spalovací,0.06
110100544,elektrický,celkový,0.097
110100544,elektrický,sluneční,0.022
110100544,elektrický,vodní,0.075
110100547,elektrický,celkový,0.38
110100547,elektrický,vodní,0.38
110100550,elektrický,celkový,347.554
110100550,tepelný,celkový,1715.1
110100550,elektrický,parní,346.165
110100550,tepelný,parní,1713.1
110100550,elektrický,plynový a spalovací,1.291
110100550,tepelný,plynový a spalovací,2.0
110100550,elektrický,sluneční,0.098
110100561,elektrický,celkový,0.7
110100561,elektrický,vodní,0.7
110100566,elektrický,celkový,0.444
110100566,tepelný,celkový,0.743
110100566,elektrický,plynový a spalovací,0.444
110100566,tepelný,plynový a spalovací,0.743
110100571,elektrický,celkový,105.71
110100571,tepelný,celkový,246.795
110100571,elektrický,parní,45.55
110100571,tepelný,parní,215.481
110100571,elektrický,plynový a spalovací,59.64
110100571,tepelný,plynový a spalovací,31.314
110100571,elektrický,sluneční,0.52
110100572,elektrický,celkový,0.96
110100572,tepelný,celkový,1.2
110100572,elektrický,plynový a spalovací,0.96
110100572,tepelný,plynový a spalovací,1.2
110100575,elektrický,celkový,0.32
110100575,elektrický,vodní,0.32
110100579,elektrický,celkový,0.044
110100579,tepelný,celkový,0.78
110100579,elektrický,plynový a spalovací,0.044
110100579,tepelný,plynový a spalovací,0.78
110100581,elektrický,celkový,0.03
110100581,elektrický,vodní,0.03
110100582,elektrický,celkový,0.068
110100582,elektrický,sluneční,0.068
110100584,elektrický,celkový,0.075
110100584,tepelný,celkový,0.115
110100584,elektrický,plynový a spalovací,0.075
110100584,tepelný,plynový a spalovací,0.115
110100587,elektrický,celkový,0.025
110100587,elektrický,vodní,0.025
110100588,elektrický,celkový,0.03
110100588,elektrický,vodní,0.03
110100589,elektrický,celkový,0.022
110100589,tepelný,celkový,0.043
110100589,elektrický,plynový a spalovací,0.022
110100589,tepelný,plynový a spalovací,0.043
110100591,elektrický,celkový,4.92
110100591,tepelný,celkový,5.487
110100591,elektrický,plynový a spalovací,4.92
110100591,tepelný,plynový a spalovací,5.487
110100592,elektrický,celkový,0.022
110100592,elektrický,vodní,0.022
110100593,elektrický,celkový,0.045
110100593,elektrický,vodní,0.045
110100595,elektrický,celkový,0.052
110100595,elektrický,vodní,0.052
110100596,elektrický,celkový,30.0
110100596,tepelný,celkový,109.0
110100596,elektrický,parní,30.0
110100596,tepelný,parní,109.0
110100598,elektrický,celkový,0.4
110100598,elektrický,vodní,0.4
110100601,elektrický,celkový,0.155
110100601,elektrický,vodní,0.155
110100602,elektrický,celkový,0.037
110100602,elektrický,vodní,0.037
110100607,elektrický,celkový,0.01
110100607,elektrický,vodní,0.01
110100615,elektrický,celkový,0.018
110100615,elektrický,vodní,0.018
110100616,elektrický,celkový,0.033
110100616,elektrický,vodní,0.033
110100617,elektrický,celkový,0.12
110100617,elektrický,vodní,0.12
110100619,elektrický,celkový,0.045
110100619,elektrický,vodní,0.045
110100629,elektrický,celkový,0.862
110100629,tepelný,celkový,0.937
110100629,elektrický,plynový a spalovací,0.8
110100629,tepelný,plynový a spalovací,0.937
110100629,elektrický,sluneční,0.062
110100632,elektrický,celkový,0.011
110100632,elektrický,vodní,0.011
110100634,elektrický,celkový,0.118
110100634,elektrický,vodní,0.118
110100637,elektrický,celkový,0.011
110100637,elektrický,vodní,0.011
110100638,elektrický,celkový,0.44
110100638,elektrický,vodní,0.44
110100641,elektrický,celkový,0.128
110100641,elektrický,vodní,0.128
110100642,elektrický,celkový,0.044
110100642,elektrický,vodní,0.044
110100652,elektrický,celkový,0.04
110100652,elektrický,vodní,0.04
110100654,elektrický,celkový,0.044
110100654,tepelný,celkový,0.088
110100654,elektrický,plynový a spalovací,0.044
110100654,tepelný,plynový a spalovací,0.088
110100659,elektrický,celkový,16.2
110100659,tepelný,celkový,248.0
110100659,elektrický,parní,16.2
110100659,tepelný,parní,248.0
110100663,elektrický,celkový,0.2
110100663,elektrický,vodní,0.2
110100664,elektrický,celkový,0.037
110100664,elektrický,vodní,0.037
110100667,elektrický,celkový,0.447
110100667,elektrický,vodní,0.447
110100670,elektrický,celkový,0.037
110100670,elektrický,vodní,0.037
110100671,elektrický,celkový,0.03
110100671,elektrický,vodní,0.03
110100672,elektrický,celkový,0.1
110100672,elektrický,plynový a spalovací,0.1
110100675,elektrický,celkový,0.082
110100675,elektrický,vodní,0.082
110100689,elektrický,celkový,50.0
110100689,tepelný,celkový,348.0
110100689,elektrický,parní,50.0
110100689,tepelný,parní,348.0
110100693,elektrický,celkový,0.155
110100693,elektrický,vodní,0.155
110100695,elektrický,celkový,0.045
110100695,elektrický,vodní,0.045
110100696,elektrický,celkový,0.097
110100696,elektrický,vodní,0.097
110100697,elektrický,celkový,0.06
110100697,elektrický,vodní,0.06
110100705,elektrický,celkový,0.217
110100705,elektrický,vodní,0.217
110100718,elektrický,celkový,0.003
110100718,elektrický,vodní,0.003
110100719,elektrický,celkový,0.022
110100719,elektrický,vodní,0.022
110100721,elektrický,celkový,0.22
110100721,elektrický,vodní,0.22
110100722,elektrický,celkový,0.16
110100722,elektrický,vodní,0.16
110100723,elektrický,celkový,0.143
110100723,elektrický,vodní,0.143
110100724,elektrický,celkový,0.046
110100724,elektrický,vodní,0.046
110100725,elektrický,celkový,0.3
110100725,tepelný,celkový,0.452
110100725,elektrický,plynový a spalovací,0.3
110100725,tepelný,plynový a spalovací,0.452
110100728,elektrický,celkový,0.055
110100728,elektrický,vodní,0.055
110100737,elektrický,celkový,0.055
110100737,elektrický,vodní,0.055
110100739,elektrický,celkový,0.01
110100739,elektrický,vodní,0.01
110100744,elektrický,celkový,0.6
110100744,tepelný,celkový,0.698
110100744,elektrický,plynový a spalovací,0.6
110100744,tepelný,plynový a spalovací,0.698
110100751,elektrický,celkový,0.03
110100751,elektrický,vodní,0.03
110100763,elektrický,celkový,0.095
110100763,elektrický,vodní,0.095
110100766,elektrický,celkový,0.03
110100766,elektrický,vodní,0.03
110100767,elektrický,celkový,0.01
110100767,elektrický,vodní,0.01
110100769,elektrický,celkový,1.055
110100769,tepelný,celkový,1.395
110100769,elektrický,plynový a spalovací,1.038
110100769,tepelný,plynový a spalovací,1.395
110100769,elektrický,sluneční,0.017
110100772,elektrický,celkový,0.045
110100772,elektrický,vodní,0.045
110100774,elektrický,celkový,10.351
110100774,tepelný,celkový,52.167
110100774,elektrický,plynový a spalovací,10.351
110100774,tepelný,plynový a spalovací,52.167
110100778,elektrický,celkový,0.09
110100778,elektrický,vodní,0.09
110100779,elektrický,celkový,0.01
110100779,elektrický,sluneční,0.003
110100779,elektrický,vodní,0.007
110100781,elektrický,celkový,0.264
110100781,tepelný,celkový,1.56
110100781,elektrický,plynový a spalovací,0.264
110100781,tepelný,plynový a spalovací,1.56
110100784,elektrický,celkový,0.08
110100784,elektrický,vodní,0.08
110100786,elektrický,celkový,0.008
110100786,elektrický,vodní,0.008
110100787,elektrický,celkový,0.016
110100787,elektrický,vodní,0.016
110100790,elektrický,celkový,0.03
110100790,elektrický,vodní,0.03
110100791,elektrický,celkový,0.025
110100791,tepelný,celkový,0.043
110100791,elektrický,plynový a spalovací,0.022
110100791,tepelný,plynový a spalovací,0.043
110100791,elektrický,sluneční,0.003
110100792,elektrický,celkový,0.09
110100792,elektrický,vodní,0.09
110100794,elektrický,celkový,0.022
110100794,elektrický,vodní,0.022
110100796,elektrický,celkový,0.022
110100796,tepelný,celkový,0.13
110100796,elektrický,kogenerace,0.022
110100796,tepelný,kogenerace,0.13
110100797,elektrický,celkový,0.008
110100797,elektrický,vodní,0.008
110100798,elektrický,celkový,0.015
110100798,elektrický,vodní,0.015
110100799,elektrický,celkový,0.026
110100799,elektrický,vodní,0.026
110100802,elektrický,celkový,0.035
110100802,elektrický,vodní,0.035
110100807,elektrický,celkový,0.075
110100807,elektrický,vodní,0.075
110100808,elektrický,celkový,0.086
110100808,elektrický,vodní,0.086
110100809,elektrický,celkový,0.045
110100809,elektrický,vodní,0.045
110100811,elektrický,celkový,3.197
110100811,tepelný,celkový,4.096
110100811,elektrický,plynový a spalovací,2.776
110100811,tepelný,plynový a spalovací,4.306
110100811,elektrický,sluneční,0.421
110100812,elektrický,celkový,0.15
110100812,elektrický,vodní,0.15
110100814,elektrický,celkový,0.015
110100814,elektrický,vodní,0.015
110100815,elektrický,celkový,0.047
110100815,elektrický,vodní,0.047
110100817,elektrický,celkový,0.28
110100817,tepelný,celkový,0.28
110100817,elektrický,plynový a spalovací,0.28
110100817,tepelný,plynový a spalovací,0.28
110100820,elektrický,celkový,0.04
110100820,elektrický,vodní,0.04
110100822,elektrický,celkový,0.015
110100822,elektrický,vodní,0.015
110100823,elektrický,celkový,0.115
110100823,elektrický,sluneční,0.005
110100823,elektrický,vodní,0.11
110100824,elektrický,celkový,0.055
110100824,elektrický,vodní,0.055
110100826,elektrický,celkový,0.015
110100826,elektrický,vodní,0.015
110100827,elektrický,celkový,0.028
110100827,elektrický,vodní,0.028
110100828,elektrický,celkový,0.16
110100828,elektrický,vodní,0.16
110100829,elektrický,celkový,0.21
110100829,elektrický,vodní,0.21
110100830,elektrický,celkový,0.03
110100830,elektrický,vodní,0.03
110100835,elektrický,celkový,0.21
110100835,elektrický,vodní,0.21
110100836,elektrický,celkový,0.125
110100836,elektrický,vodní,0.125
110100841,elektrický,celkový,0.18
110100841,elektrický,vodní,0.18
110100852,elektrický,celkový,0.004
110100852,elektrický,vodní,0.004
110100853,elektrický,celkový,0.022
110100853,tepelný,celkový,0.045
110100853,elektrický,plynový a spalovací,0.022
110100853,tepelný,plynový a spalovací,0.045
110100858,elektrický,celkový,0.354
110100858,elektrický,vodní,0.354
110100859,elektrický,celkový,0.03
110100859,elektrický,vodní,0.03
110100860,elektrický,celkový,0.005
110100860,elektrický,vodní,0.005
110100869,elektrický,celkový,7.845
110100869,tepelný,celkový,48.0
110100869,elektrický,parní,7.8
110100869,tepelný,parní,48.0
110100869,elektrický,sluneční,0.045
110100887,elektrický,celkový,181.629
110100887,tepelný,celkový,724.985
110100887,elektrický,parní,84.6
110100887,tepelný,parní,636.0
110100887,elektrický,paroplynová,95.0
110100887,tepelný,paroplynová,86.0
110100887,elektrický,plynový a spalovací,2.0
110100887,tepelný,plynový a spalovací,2.985
110100887,elektrický,sluneční,0.029
110100889,elektrický,celkový,0.14
110100889,tepelný,celkový,0.198
110100889,elektrický,plynový a spalovací,0.14
110100889,tepelný,plynový a spalovací,0.198
110100901,elektrický,celkový,0.055
110100901,elektrický,vodní,0.055
110100902,elektrický,celkový,0.055
110100902,elektrický,vodní,0.055
110100904,elektrický,celkový,0.006
110100904,elektrický,vodní,0.006
110100910,elektrický,celkový,0.02
110100910,elektrický,vodní,0.02
110100913,elektrický,celkový,0.136
110100913,elektrický,sluneční,0.011
110100913,elektrický,vodní,0.125
110100917,elektrický,celkový,0.194
110100917,elektrický,sluneční,0.02
110100917,elektrický,vodní,0.174
110100918,elektrický,celkový,0.311
110100918,elektrický,vodní,0.311
110100919,elektrický,celkový,0.374
110100919,elektrický,vodní,0.374
110100922,elektrický,celkový,0.055
