cislo_licence,druh,technologie,mw
310100783,tepelný,celkový,1.56
310100783,tepelný,teplovodní,1.56
310100788,elektrický,celkový,2.1
310100788,tepelný,celkový,35.48
310100788,tepelný,horkovodní,26.63
310100788,tepelný,teplovodní,8.85
310100788,tepelný,výkon kvet,7.85
310100832,elektrický,celkový,3.558
310100832,tepelný,celkový,94.867
310100832,tepelný,parní,84.8
310100832,tepelný,horkovodní,2.387
310100832,tepelný,teplovodní,7.68
310100832,tepelný,výkon kvet,4.067
310100839,tepelný,celkový,1.498
310100839,tepelný,teplovodní,1.498
310100845,tepelný,celkový,58.1
310100845,tepelný,parní,56.2
310100845,tepelný,horkovodní,1.9
310100855,tepelný,celkový,0.835
310100855,tepelný,parní,0.835
310100865,tepelný,celkový,2.18
310100865,tepelný,teplovodní,2.18
310100866,tepelný,celkový,29.14
310100866,tepelný,horkovodní,26.06
310100866,tepelný,teplovodní,3.08
310100870,elektrický,celkový,7.8
310100870,tepelný,celkový,40.542
310100870,tepelný,parní,35.792
310100870,tepelný,horkovodní,4.75
310100870,tepelný,výkon kvet,17.438
310100875,tepelný,celkový,1.5
310100875,tepelný,teplovodní,1.5
310100879,tepelný,celkový,68.3
310100879,tepelný,parní,65.3
310100879,tepelný,teplovodní,3.0
310100882,tepelný,celkový,3.179
310100882,tepelný,teplovodní,3.179
310100892,elektrický,celkový,0.14
310100892,tepelný,celkový,8.851
310100892,tepelný,teplovodní,8.851
310100892,tepelný,výkon kvet,0.198
310100894,tepelný,celkový,10.5
310100894,tepelný,teplovodní,10.5
310100900,elektrický,celkový,2.16
310100900,tepelný,celkový,35.913
310100900,tepelný,teplovodní,35.913
310100900,tepelný,výkon kvet,2.444
310100915,tepelný,celkový,1.26
310100915,tepelný,teplovodní,1.26
310100920,tepelný,celkový,3.043
310100920,tepelný,teplovodní,3.043
310100929,tepelný,celkový,5.1
310100929,tepelný,teplovodní,5.1
310100938,elektrický,celkový,75.6
310100938,tepelný,celkový,380.8
310100938,tepelný,parní,332.0
310100938,tepelný,horkovodní,48.8
310100941,tepelný,celkový,0.91
310100941,tepelný,teplovodní,0.91
310100957,tepelný,celkový,4.9
310100957,tepelný,teplovodní,4.9
310100966,elektrický,celkový,94.0
310100966,tepelný,celkový,443.934
310100966,tepelný,parní,240.0
310100966,tepelný,horkovodní,174.0
310100966,tepelný,teplovodní,29.934
310100966,tepelný,výkon kvet,246.609
310100968,tepelný,celkový,8.2
310100968,tepelný,teplovodní,8.2
310100984,tepelný,celkový,11.7
310100984,tepelný,parní,11.7
310100985,elektrický,celkový,0.893
310100985,tepelný,celkový,11.133
310100985,tepelný,teplovodní,11.133
310100985,tepelný,výkon kvet,1.293
310100996,elektrický,celkový,0.4
310100996,tepelný,celkový,7.8
310100996,tepelný,teplovodní,7.8
310100997,elektrický,celkový,0.266
310100997,tepelný,celkový,4.32
310100997,tepelný,teplovodní,4.32
310100997,tepelný,výkon kvet,0.419
310101004,tepelný,celkový,0.232
310101004,tepelný,teplovodní,0.232
310101015,tepelný,celkový,2.928
310101015,tepelný,teplovodní,2.928
310101042,tepelný,celkový,0.867
310101042,tepelný,teplovodní,0.867
310101044,tepelný,celkový,16.8
310101044,tepelný,teplovodní,16.8
310101047,elektrický,celkový,0.088
310101047,tepelný,celkový,0.917
310101047,tepelný,teplovodní,0.917
310101047,tepelný,výkon kvet,0.185
310101060,tepelný,celkový,8.0
310101060,tepelný,teplovodní,8.0
310101104,elektrický,celkový,25.2
310101104,tepelný,celkový,175.0
310101104,tepelný,parní,175.0
310101104,tepelný,výkon kvet,175.0
310101114,elektrický,celkový,0.18
310101114,tepelný,celkový,4.445
310101114,tepelný,teplovodní,4.445
310101114,tepelný,výkon kvet,0.245
310101118,elektrický,celkový,77.2
310101118,tepelný,celkový,345.0
310101118,tepelný,parní,345.0
310101146,tepelný,celkový,66.435
310101146,tepelný,parní,18.65
310101146,tepelný,horkovodní,47.2
310101146,tepelný,teplovodní,0.585
310101150,tepelný,celkový,22.8
310101150,tepelný,parní,22.8
310101157,tepelný,celkový,3.0
310101157,tepelný,teplovodní,3.0
310101174,tepelný,celkový,3.8
310101174,tepelný,teplovodní,3.8
310101180,elektrický,celkový,0.15
310101180,tepelný,celkový,2.44
310101180,tepelný,teplovodní,2.44
310101184,elektrický,celkový,0.39
310101184,tepelný,celkový,9.234
310101184,tepelný,teplovodní,9.234
310101184,tepelný,výkon kvet,0.504
310101187,tepelný,celkový,32.79
310101187,tepelný,horkovodní,32.6
310101187,tepelný,teplovodní,0.19
310101195,tepelný,celkový,3.35
310101195,tepelný,teplovodní,3.35
310101197,tepelný,celkový,0.3
310101197,tepelný,teplovodní,0.3
310101199,tepelný,celkový,29.86
310101199,tepelný,parní,1.16
310101199,tepelný,horkovodní,28.7
310101203,tepelný,celkový,7.9
310101203,tepelný,teplovodní,7.9
310101207,tepelný,celkový,3.78
310101207,tepelný,teplovodní,3.78
310101210,tepelný,celkový,5.74
310101210,tepelný,teplovodní,5.74
310101215,tepelný,celkový,6.51
